Airport Name,Airport Code
Hong Kong Intl,HKG-sky
Bangkok Suvarnabhumi,BKK-sky
London Heathrow,LHR-sky
Singapore Changi,SIN-sky
Macau,XZM-sky
Dubai,DXB-sky
Paris Charles de Gaulle,CDG-sky
New York John F. Kennedy,JFK-sky
Kuala Lumpur International,KUL-sky
Rome Fiumicino,FCO-sky
Tokyo Narita,NRT-sky
Taipei Taiwan Taoyuan,TPE-sky
Istanbul,IST-sky
Seoul Incheon Int'l,ICN-sky
Peru,GUS-sky
Delingha,HXD-sky
Barcelona,BLA-sky
Shanghai Pu Dong,PVG-sky
Las Vegas Mccarran,LAS-sky
Milan Malpensa,MXP-sky
Gazipasa Alanya,GZP-sky
Limoges,LIG-sky
Los Angeles International,LAX-sky
Osaka Kansai International,KIX-sky
Berlin,BML-sky
Agartala,IXA-sky
Johannesburg O.R. Tambo,JNB-sky
Venice Marco Polo,VCE-sky
Orlando International,MCO-sky
Wadi Ad Dawasir,WAE-sky
Dublin,DBN-sky
Florence,FLO-sky
Moscow Sheremetyevo,SVO-sky
Athens Ben Epps,AHN-sky
Raipur,RPR-sky
Beijing Capital,PEK-sky
Toronto Pearson International,YYZ-sky
Hannover,HAJ-sky
J.A. Douglas McCurdy Sydney,YQY-sky
Quito,UIO-sky
Pedro Juan Caballero,PJC-sky
Long Beach Municipal,LGB-sky
Tires,CAT-sky
Tanjung Pinang,TNJ-sky
Hamad International,DOH-sky
Copenhagen,CPH-sky
St Petersburg,SPG-sky
Jujuy,JUJ-sky
Chiang Rai,CEI-sky
Warsaw Modlin,WMI-sky
Kalaeloa,JRF-sky
Melbourne Tullamarine,MEL-sky
Melbourne Avalon,AVV-sky
Essaouira,ESU-sky
Brussels International,BRU-sky
Great Barrier Island,GBZ-sky
Vancouver International,YVR-sky
Soekarno-Hatta Jakarta,CGK-sky
Frankfurt am Main,FRA-sky
Stockholm Arlanda,ARN-sky
Rio De Janeiro Internacional,GIG-sky
Buenos Aires Ministro Pistarini,EZE-sky
Nicaragua,NI-sky
Albuquerque,ABQ-sky
Lima,AOH-sky
Montreal Pierre Elliott Trudeau,YUL-sky
Providence,PVD-sky
Abu Dhabi International,AUH-sky
Colombo Bandaranayake,CMB-sky
Washington Ronald Reagan,DCA-sky
